활동 유형,날짜,시간,거리,평균 파워,정규화 파워(NP),최대 파워,트레이닝 스트레스 점수(TSS),평균 심박수,활동명
사이클링,2024-06-13 20:53:45,0:58:55,30.07,197.0,216.0,289.0,58.1,149.0,Classic 4x20_zone3
사이클링,2024-06-14 19:06:01,0:34:44,26.22,213.0,230.0,319.0,54.4,159.0,Classic 4x20
사이클링,2024-06-15 08:58:22,0:10:00,23.15,157.0,166.0,223.0,30.5,142.0,Zone2_endurance
사이클링,2024-06-16 09:18:19,0:59:09,26.99,143.0,192.0,558.0,51.2,145.0,사이클링
사이클링,2024-06-16 10:31:15,2:08:51,56.71,147.0,200.0,608.0,121.9,154.0,사이클링
사이클링,2024-06-17 20:00:36,0:54:00,28.35,215.0,226.0,389.0,57.9,155.0,Classic 4x20_zone3
사이클링,2024-06-20 20:52:43,0:59:47,30.35,204.0,225.0,316.0,62.8,151.0,Classic 4x20_zone3
사이클링,2024-06-21 20:28:44,0:49:16,25.89,188.0,216.0,313.0,49.9,144.0,climb
사이클링,2024-06-22 08:07:17,0:10:00,26.06,166.0,176.0,265.0,38.4,141.0,Zone2_endurance
사이클링,2024-06-24 19:39:57,0:59:13,31.73,205.0,225.0,313.0,63.0,146.0,Classic 4x20_zone3
사이클링,2024-06-26 07:33:44,0:58:53,29.5,190.0,207.0,286.0,53.3,152.0,Classic 4x20_zone3
사이클링,2024-06-28 20:13:00,1:00:00,31.0,190.0,,286.0,,152.0,로라
사이클링,2024-06-29 16:26:57,0:58:52,32.8,212.0,233.0,311.0,67.4,153.0,Classic 4x20
사이클링,2024-06-29 19:30:20,1:49:57,56.06,169.0,176.0,263.0,76.3,145.0,Zone2_endurance
사이클링,2024-07-01 19:44:42,0:54:54,29.44,209.0,224.0,292.0,57.7,153.0,Classic 4x20_zone3
사이클링,2024-07-02 20:58:32,0:59:37,31.28,203.0,222.0,305.0,61.0,149.0,Classic 4x20_zone3
사이클링,2024-07-03 19:42:38,0:49:36,26.34,195.0,214.0,333.0,48.6,147.0,climb
사이클링,2024-07-06 20:14:48,1:02:48,34.62,219.0,236.0,321.0,73.2,156.0,사이클링
사이클링,2024-07-07 06:48:23,2:05:49,47.69,149.0,215.0,596.0,135.8,,사이클링
사이클링,2024-07-07 09:56:42,0:53:55,21.71,129.0,183.0,515.0,42.3,,사이클링
사이클링,2024-07-08 19:46:16,0:34:43,27.36,199.0,209.0,286.0,49.5,153.0,Classic 4x20_zone3
사이클링,2024-07-10 19:44:33,0:54:51,28.34,196.0,212.0,278.0,54.1,147.0,Classic 4x20_zone3
사이클링,2024-07-12 21:04:48,0:59:29,29.38,200.0,218.0,315.0,59.1,146.0,Classic 4x20_zone3
사이클링,2024-07-13 15:59:50,1:01:45,32.39,221.0,236.0,324.0,71.2,155.0,사이클링
사이클링,2024-07-13 18:38:32,0:10:00,41.72,182.0,188.0,265.0,66.9,147.0,Zone2_endurance
사이클링,2024-07-14 19:19:43,0:10:00,27.47,176.0,182.0,261.0,42.0,145.0,Zone2_endurance
사이클링,2024-07-16 20:58:00,0:53:59,25.84,194.0,210.0,271.0,50.2,141.0,Classic 4x20_zone3
사이클링,2024-07-17 11:51:38,0:24:50,28.16,195.0,212.0,290.0,55.4,145.0,Classic 4x20_zone3
